RawTable,CleansedTable,RawColumnName,DataType,CleansedColumnName,TransformTag,CustomTransform,Lookup
raw.art_art_assessment_comment,cleansed.art_art_assessment_comment,WORKSHOP_ID,STRING,workshopId,,,
raw.art_art_assessment_comment,cleansed.art_art_assessment_comment,LOCATION_ID,STRING,locationId,,,
raw.art_art_assessment_comment,cleansed.art_art_assessment_comment,COMMENT,STRING,comment,,,
raw.art_art_assessment_comment,cleansed.art_art_assessment_comment,ASSET_ID,STRING,assetId,,,
raw.art_art_assessment_comment,cleansed.art_art_assessment_comment,ROLE,STRING,role,,,
raw.art_art_assessment_comment,cleansed.art_art_assessment_comment,CREATED_BY,STRING,createdBy,,,
raw.art_art_assessment_comment,cleansed.art_art_assessment_comment,CREATED_DATETIME,DATETIME,createdDatetime,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,WORKSHOP_ID,STRING,workshopId,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,LOCATION_ID,STRING,locationId,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,ASSET_ID,STRING,assetId,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,LOC_DESC,STRING,locDesc,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,LOC_STATUS,STRING,locStatus,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,ASSET_DESC,STRING,assetDesc,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,ASSET_STATUS,STRING,assetStatus,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,CG_DATE,DATETIME,cgDate,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,CG_READING,STRING,cgReading,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,COF_SCORE,STRING,cofScore,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,COF_ENV,STRING,cofEnv,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,COF_ECO,STRING,cofEco,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,COF_CUST,STRING,cofCust,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,COF_SAFETY,STRING,cofSafety,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,COF_PHEALTH,STRING,cofPhealth,,,
raw.art_art_assessment_mxes_data,cleansed.art_art_assessment_mxes_data,COF_COMPL,STRING,cofCompl,,,
