RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.aurion_position,cleansed.aurion_position,OrganisationUnitNumber,organisationUnitNumber,string,,,
raw.aurion_position,cleansed.aurion_position,PositionNumber,positionNumber,string,,,
raw.aurion_position,cleansed.aurion_position,PositionTitle,positionTitle,string,,,
raw.aurion_position,cleansed.aurion_position,PositionFullTitle,positionFullTitle,string,,,
raw.aurion_position,cleansed.aurion_position,PositionStatus,positionStatus,string,,,
raw.aurion_position,cleansed.aurion_position,ReportstoPosition,reportsToPosition,string,,,
raw.aurion_position,cleansed.aurion_position,SBR,fundingStatusCode,int,,,
raw.aurion_position,cleansed.aurion_position,ModifyDateTimeStamp,modifyDateTimeStamp,datetime,str-dd-MMM-yyyy-HH-mm-to-timestamp,,
raw.aurion_position,cleansed.aurion_position,CreateDateTimeStamp,createDateTimeStamp,datetime,str-dd-MMM-yyyy-HH-mm-to-timestamp,,
raw.aurion_position,cleansed.aurion_position,CostCentre,costCentre,int,,,
raw.aurion_position,cleansed.aurion_position,FinancialDelegation,financialDelegation,int,,,
raw.aurion_organisation,cleansed.aurion_organisation,OrganisationUnitNumber,organisationUnitNumber,string,,,
raw.aurion_organisation,cleansed.aurion_organisation,OrganisationUnitName,organisationUnitName,string,,,
raw.aurion_organisation,cleansed.aurion_organisation,OrganisationUnitDescription,organisationUnitDescription,string,,,
raw.aurion_organisation,cleansed.aurion_organisation,OrganisationUnitStatus,organisationUnitStatus,string,,,
raw.aurion_organisation,cleansed.aurion_organisation,SuperiorOrgUnitNumber,superiorOrgUnitNumber,string,,,
raw.aurion_organisation,cleansed.aurion_organisation,DeptOwner,departmentOwner,int,,,
raw.aurion_organisation,cleansed.aurion_organisation,CreateDateTimeStamp,createDatetime,Datetime,str-dd-MMM-yyyy-HH-mm-to-timestamp,,
raw.aurion_organisation,cleansed.aurion_organisation,ModifyDateTimeStamp,modifyDatetime,Datetime,str-dd-MMM-yyyy-HH-mm-to-timestamp,,
raw.aurion_organisation,cleansed.aurion_organisation,CostCentre,costCentre,int,,,
raw.aurion_active_employees,cleansed.aurion_active_employees,AsatDate,asAtDate,date,str-dd-MMM-yyyy-to-date,,
raw.aurion_active_employees,cleansed.aurion_active_employees,EmployeeNumber,employeeNumber,string,,,
raw.aurion_active_employees,cleansed.aurion_active_employees,PersonNumber,personNumber,string,,,
raw.aurion_active_employees,cleansed.aurion_active_employees,UserID,userId,string,,,
raw.aurion_active_employees,cleansed.aurion_active_employees,Salutation,salutation,string,,,
raw.aurion_active_employees,cleansed.aurion_active_employees,Surname,surname,string,,,
raw.aurion_active_employees,cleansed.aurion_active_employees,GivenNames,givenNames,string,,,
raw.aurion_active_employees,cleansed.aurion_active_employees,PreferredName,preferredName,string,,,
raw.aurion_active_employees,cleansed.aurion_active_employees,EmployeeStatus,employeeStatus,string,,,
