RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,Date,Date,Date,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,Minimum_temperature___C_,Minimum_temperature_C,Decimal,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,Maximum_temperature___C_,Maximum_temperature_C,Decimal,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,Rainfall__mm_,Rainfall_mm,Decimal,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,Evaporation__mm_,Evaporation_mm,Decimal,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,Sunshine__hours_,Sunshine_hours,Decimal,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,Direction_of_maximum_wind_gust_,Direction_of_maximum_wind_gust,String,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,Speed_of_maximum_wind_gust__km_h_,Speed_of_maximum_wind_gust_kmh,Int,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,Time_of_maximum_wind_gust,Time_of_maximum_wind_gust,String,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,9am_Temperature___C_,9am_Temperature_C,Decimal,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,9am_relative_humidity____,9am_relative_humidity,Int,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,9am_cloud_amount__oktas_,9am_cloud_amount_oktas,Int,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,9am_wind_direction,9am_wind_direction,String,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,9am_wind_speed__km_h_,9am_wind_speed_kmh,Int,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,9am_MSL_pressure__hPa_,9am_MSL_pressure_hPa,Decimal,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,3pm_Temperature___C_,3pm_Temperature_C,Decimal,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,3pm_relative_humidity____,3pm_relative_humidity,Int,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,3pm_cloud_amount__oktas_,3pm_cloud_amount_oktas,Int,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,3pm_wind_direction,3pm_wind_direction,String,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,3pm_wind_speed__km_h_,3pm_wind_speed_kmh,Int,,,
raw.bom_dailyweatherobservation_parramattanorth,cleansed.bom_dailyweatherobservation_parramattanorth,3pm_MSL_pressure__hPa_,3pm_MSL_pressure_hPa,Decimal,,,
raw.bom_dailyweatherobservation_sydneyairport,cleansed.bom_dailyweatherobservation_sydneyairport,Date,Date,Date,,,
raw.bom_dailyweatherobservation_sydneyairport,cleansed.bom_dailyweatherobservation_sydneyairport,Minimum_temperature___C_,Minimum_temperature_C,Decimal,,,
raw.bom_dailyweatherobservation_sydneyairport,cleansed.bom_dailyweatherobservation_sydneyairport,Maximum_temperature___C_,Maximum_temperature_C,Decimal,,,
raw.bom_dailyweatherobservation_sydneyairport,cleansed.bom_dailyweatherobservation_sydneyairport,Rainfall__mm_,Rainfall_mm,Decimal,,,
raw.bom_dailyweatherobservation_sydneyairport,cleansed.bom_dailyweatherobservation_sydneyairport,Evaporation__mm_,Evaporation_mm,Decimal,,,
