RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.crm_zcs_long_text_act,cleansed.crm_zcs_long_text_act,ACT_GUID,activityObjectGUID,String,,,
raw.crm_zcs_long_text_act,cleansed.crm_zcs_long_text_act,ACT_OBJ_ID,activityObjectID,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,ACT_ONLY,activityOnly,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,ACT_REASON_CAT,reasonCatalogCode,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,ACT_REASON_CODE,reasonCode,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,ACT_REASON_GROUP,reasonGroupCode,String,,,
raw.crm_crmc_proc_type,cleansed.crm_crmc_proc_type,ACTIONPROFILE,actionProfile,String,,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,ACTIVITY_PARTNER,propertyNumber,String,trim,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,ACTUAL_FROM,actualFromDate,Date,str-yyyy-mm-dd-to-date,,
raw.crm_0crm_sales_act_1,cleansed.crm_0crm_sales_act_1,ACTUAL_TO,actualToDate,Date,str-yyyy-mm-dd-to-date,,
raw.crm_crmd_partner,cleansed.crm_crmd_partner,ADDR_NP,personNumber,String,,,
raw.crm_crmd_partner,cleansed.crm_crmd_partner,ADDR_NR,addressNumber,String,,,
raw.crm_crmd_partner,cleansed.crm_crmd_partner,ADDR_OPERATION,addressOperation,String,,,
raw.crm_crmd_partner,cleansed.crm_crmd_partner,ADDR_ORIGIN,addressOrigin,String,,,
raw.crm_crmd_partner,cleansed.crm_crmd_partner,ADDR_TYPE,addressType,String,,,
raw.crm_crmc_proc_type,cleansed.crm_crmc_proc_type,AGREEMENT_MSG,agreementMessage,String,,,
raw.crm_crmc_proc_type,cleansed.crm_crmc_proc_type,ALLOW_PART_PROC,allowPartProcessing,String,,,
raw.crm_crmc_proc_type,cleansed.crm_crmc_proc_type,ALTID_PROFILE,alternativeIdProfile,String,,,
