current_database_name,current_table_name,future_database_name,future_table_name
curated,accesscancelledactiveprops,water_consumption,accesscancelledactiveprops
curated,bridgecustomerinteractionattachment,brg,customerinteractionattachment
curated,bridgecustomerinteractionemail,brg,customerinteractionemail
curated,bridgecustomerinteractionservicerequest,brg,customerinteractionservicerequest
curated,bridgecustomerinteractionworknotesummary,brg,customerinteractionworknotesummary
curated,bridgecustomerservicerequestattachment,brg,customerservicerequestattachment
curated,bridgecustomerservicerequestemail,brg,customerservicerequestemail
curated,bridgecustomerservicerequestinteraction,brg,customerservicerequestinteraction
curated,bridgecustomerservicerequestsurvey,brg,customerservicerequestsurvey
curated,bridgecustomerservicerequesttoservicerequest,brg,customerservicerequesttoservicerequest
curated,bridgecustomerservicerequestworknoteresolution,brg,customerservicerequestworknoteresolution
curated,bridgecustomerservicerequestworknotesummary,brg,customerservicerequestworknotesummary
curated,bridgeworkorderpreventivemaintenance,brg,workorderpreventivemaintenance
curated,dimaccountbusinesspartner,dim,accountbusinesspartner
curated,dimasset,dim,asset
curated,dimassetcontract,dim,assetcontract
curated,dimassetlocation,dim,assetlocation
curated,dimassetlocationancestor,dim,assetlocationancestor
curated,dimassetmeter,dim,assetmeter
curated,dimassetspec,dim,assetspec
curated,dimbusinesspartner,dim,businesspartner
curated,dimbusinesspartneraddress,dim,businesspartneraddress
curated,dimbusinesspartnergroup,dim,businesspartnergroup
curated,dimbusinesspartneridentification,dim,businesspartneridentification
curated,dimbusinesspartnerrelation,dim,businesspartnerrelation
curated,dimcommunicationchannel,dim,communicationchannel
curated,dimcontract,dim,contract
curated,dimcontractaccount,dim,contractaccount
curated,dimcontracthistory,dim,contracthistory
curated,dimcustomerinteractionstatus,dim,customerinteractionstatus
curated,dimcustomerserviceattachmentinfo,dim,customerserviceattachmentinfo
curated,dimcustomerservicecategory,dim,customerservicecategory
curated,dimcustomerserviceemailheader,dim,customerserviceemailheader
curated,dimcustomerserviceprocesstype,dim,customerserviceprocesstype
curated,dimcustomerservicerequeststatus,dim,customerservicerequeststatus
curated,dimdate,dim,date
curated,dimdevice,dim,device
curated,dimdevicecharacteristics,dim,devicecharacteristics
curated,dimdevicehistory,dim,devicehistory
curated,dimdeviceinstallationhistory,dim,deviceinstallationhistory
curated,dimdisconnectiondocument,dim,disconnectiondocument
curated,diminstallation,dim,installation
curated,diminstallationfacts,dim,installationfacts
curated,diminstallationhistory,dim,installationhistory
curated,dimlocation,dim,location
curated,dimlocationspec,dim,locationspec
curated,dimmeterconsumptionbillingdocument,dim,meterconsumptionbillingdocument
curated,dimmeterconsumptionbillinglineitem,dim,meterconsumptionbillinglineitem
curated,dimproperty,dim,property
curated,dimpropertylot,dim,propertylot
curated,dimpropertyrelation,dim,propertyrelation
curated,dimpropertyservice,dim,propertyservice
curated,dimpropertytypehistory,dim,propertytypehistory
curated,dimregisterhistory,dim,registerhistory
curated,dimregisterinstallationhistory,dim,registerinstallationhistory
curated,dimservicerequestprocesstype,dim,servicerequestprocesstype
curated,dimservicerequeststatus,dim,servicerequeststatus
curated,dimsewernetwork,dim,sewernetwork
curated,dimstormwaternetwork,dim,stormwaternetwork
curated,dimsurvey,dim,survey
curated,dimsurveyparticipant,dim,surveyparticipant
curated,dimsurveyquestion,dim,surveyquestion
curated,dimsurveyresponseinformation,dim,surveyresponseinformation
curated,dimwaternetwork,dim,waternetwork
curated,dimworkorderjobplan,dim,workorderjobplan
curated,dimworkorderproblemtype,dim,workorderproblemtype
curated,factassetdemandvalue,fact,assetdemandvalue
curated,factassetperformance,fact,assetperformance
curated,factassetperformanceindex,fact,assetperformanceindex
curated,factbilledwaterconsumption,fact,billedwaterconsumption
curated,factconsumptionaggregate,fact,consumptionaggregate
curated,factcustomerinteraction,fact,customerinteraction
curated,factcustomerserviceemailevent,fact,customerserviceemailevent
curated,factcustomerservicerequest,fact,customerservicerequest
curated,factcustomerserviceworknote,fact,customerserviceworknote
curated,factdemand,fact,demand
curated,factmonthlyapportionedconsumption,fact,monthlyapportionedconsumption
curated,factpreventivemaintenance,fact,preventivemaintenance
curated,factsupplyapportionedpropertyconsumption,fact,supplyapportionedpropertyconsumption
curated,factsurveymiscellaneousinformation,fact,surveymiscellaneousinformation
curated,factsurveyresponse,fact,surveyresponse
curated,factunmeteredconsumption,fact,unmeteredconsumption
curated,factworkorder,fact,workorder
curated,factworkorderfailurereport,fact,workorderfailurereport
curated,metertimesliceaccess,water_consumption,metertimesliceaccess
curated,refreportconfiguration,asset_performance,referencereportconfiguration
curated,viewbilledwaterconsumption,water_consumption,viewbilledwaterconsumption
curated,viewbusinesspartner,water_consumption,viewbusinesspartner
curated,viewbusinesspartnergroup,water_consumption,viewbusinesspartnergroup
curated,viewcontract,water_consumption,viewcontract
curated,viewcontractaccount,water_consumption,viewcontractaccount
curated,viewdemandassetconfig,water_balance,demandassetconfig
curated,viewdemandcalculateconfig,water_balance,demandcalculateconfig
curated,viewdemandcalculatepriorityconfig,water_balance,demandcalculatepriorityconfig
curated,viewdemandwaternetwork,water_balance,demandwaternetwork
curated,viewdevice,water_consumption,viewdevice
curated,viewdevicecharacteristics,water_consumption,viewdevicecharacteristics
curated,viewdimasset,dim,assetcurrent
curated,viewdimassetcontract,dim,assetcontractcurrent
curated,viewdimassetlocation,dim,assetlocationcurrent
curated,viewdimassetlocationancestor,dim,assetlocationancestorcurrent
curated,viewdimassetlocationancestorhierarchypivot,dim,assetlocationancestorhierarchypivotcurrent
curated,viewdimassetmeter,dim,assetmetercurrent
curated,viewdimassetspec,dim,assetspeccurrent
curated,viewdimlocationspec,dim,locationspeccurrent
curated,viewdimworkorderjobplan,dim,workorderjobplancurrent
curated,viewdimworkorderproblemtype,dim,workorderproblemtypecurrent
curated,vieweppmselfservicemaster,asset_performance,eppmselfservicemaster
curated,vieweppmselfservicemasterhistory,asset_performance,eppmselfservicemasterhistory
curated,vieweppmselfservicereport,asset_performance,eppmselfservicereport
curated,vieweppmselfservicereporthistory,asset_performance,eppmselfservicereporthistory
curated,vieweppmselfservicetransaction,asset_performance,eppmselfservicetransaction
curated,vieweppmselfservicetransactionhistory,asset_performance,eppmselfservicetransactionhistory
curated,vieweppmwpi,asset_performance,eppmwpi
curated,viewfactassetperformance,fact,assetperformancecurrent
curated,viewfactassetperformanceindex,fact,assetperformanceindexcurrent
curated,viewfactpreventivemaintenance,fact,preventivemaintenancecurrent
curated,viewfactwaternetworkdemand,water_balance,factwaternetworkdemand
