RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.eam_anla,cleansed.eam_anla,KTOGR,accountDetermination,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,KTOGR,accountDetermination,String,,,
raw.eam_anla,cleansed.eam_anla,XLOEV,accountMarkedForDeletionIndicator,String,flag-x-yes-no,,
raw.eam_anla,cleansed.eam_anla,XAFABCH,acquiredAssetUse,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ZUJHR,acquistionFiscalYear,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ZUPER,acquistionPeriod,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,LSTAR,activityType,String,,,
raw.eam_anla,cleansed.eam_anla,TXA50,additionalAssetDescription,String,,,
raw.eam_anla,cleansed.eam_anla,LVORS,advancePayments,String,,,
raw.eam_anla,cleansed.eam_anla,APPROVAL_NUMBER,approvalDocumentNumber,String,,,
raw.eam_anla,cleansed.eam_anla,APPROVAL_VERSION,approvalVersion,String,,,
raw.eam_anla,cleansed.eam_anla,FEINS,areaUnit,String,,,
raw.eam_anla,cleansed.eam_anla,EHWRT,assessedValue,Float,,,
raw.eam_anla,cleansed.eam_anla,FELEI,assetAccountingLayout,String,,,
raw.eam_anla,cleansed.eam_anla,AKTIV,assetCapitalizationDate,Date,str-yyyy-mm-dd-to-date,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,AKTIV,assetCapitalizationDate,Date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,ANLTP,assetCategory,Integer,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,GDLGRP,assetCategory,String,,,
raw.eam_anla,cleansed.eam_anla,GDLGRP,assetCategory1,String,,,
raw.eam_anla,cleansed.eam_anla,ANLKL,assetClass,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ANLKL,assetClass,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ZZ_HERITAGE_ASSET_INDICATOR,assetClassification,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,KOSTLV,AssetCostCenter,String,,,
raw.eam_anla,cleansed.eam_anla,TXT50,assetDescription,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,TXTLG,assetDescription,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ZZ_ASSET_FUNDING_FLAG,assetFundingFlag,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ZZ_E_DEV_ASSET_ID,assetID,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,STORT,assetLocation,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ZZ_POST_CODE,assetLocationPostCode,String,,,
raw.eam_anla,cleansed.eam_anla,XSPEB,assetLockedToAcquisitionPostingIndicator,String,flag-x-yes-no,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ZZ_BATCH_NUMBER,assetManualBatchNo,String,,,
raw.eam_anla,cleansed.eam_anla,BSTDT,assetPODate,Date,str-yyyy-mm-dd-to-date,,
raw.eam_anla,cleansed.eam_anla,ANLN2,assetSubnumber,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ANLN2,assetSubnumber,String,,,
raw.eam_anla,cleansed.eam_anla,ORD41,assetSubType,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ORD41,assetSubType,String,,,
raw.eam_anla,cleansed.eam_anla,ANLUE,assetSuperNumber,String,,,
raw.eam_0asset_attr_text,cleansed.eam_0asset_attr_text,ANLUE,assetSuperNumber,String,,,
