"RawTable","CleansedTable","RawColumnName","DataType","CleansedColumnName","TransformTag","CustomTransform","Lookup"
"raw.edw_cdr_reference_code","cleansed.edw_cdr.reference_code","RFRNC_CD_SK","BigInt","referenceCodeSk","","",""
"raw.edw_cdr_reference_code","cleansed.edw_cdr.reference_code","CDR_SRC_SYS_CD_FK","String","sourceSystemCode","","",""
"raw.edw_cdr_reference_code","cleansed.edw_cdr.reference_code","SRC_FLD_NM","String","sourceFieldName","","",""
"raw.edw_cdr_reference_code","cleansed.edw_cdr.reference_code","TRMD_SRC_SYS_VAL_TXT","String","sourceSystemValueText","","",""
"raw.edw_cdr_reference_code","cleansed.edw_cdr.reference_code","CDR_ENTRPS_VAL_TXT","String","valueText","","",""
"raw.edw_cdr_reference_code","cleansed.edw_cdr.reference_code","CDR_ENTRPS_DSC","String","description","","",""
"raw.edw_cdr_reference_code","cleansed.edw_cdr.reference_code","EFF_FROM_DT","DateTime","effectiveFromDateTime","","",""
"raw.edw_cdr_reference_code","cleansed.edw_cdr.reference_code","EFF_TO_DT","DateTime","effectiveToDateTime","","",""
"raw.edw_cdr_reference_code","cleansed.edw_cdr.reference_code","CDR_STTS_CD","String","sTTScode","","",""
"raw.edw_cdr_reference_code","cleansed.edw_cdr.reference_code","CDR_CRT_DT","DateTime","created","","",""
"raw.edw_cdr_reference_code","cleansed.edw_cdr.reference_code","CDR_UPD_DT","DateTime","updated","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","CDB_OBJ_ID","Bigint","objectInternalId","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","MSRMT_AEST_DT","Datetime","measurementResultAESTDateTime","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","STAT_TYP_CD_FK","Integer","statisticTypeFk","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","STAT_TYP_CD_FK","String","statisticTypeCd","","concat('STATISTIC_TYPE', cast( STAT_TYP_CD_FK as int))","lookup-edw-cdr-view-reference-key"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","STAT_TYP_CD_FK","String","statisticType","","concat('STATISTIC_TYPE', cast( STAT_TYP_CD_FK as int))","lookup-edw-cdr-view-reference-description"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","TM_BASE_CD_FK","Integer","timeBaseFk","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","TM_BASE_CD_FK","String","timeBaseCd","","concat('TIME_BASE_TYPE', cast( TM_BASE_CD_FK as Int))","lookup-edw-cdr-view-reference-key"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","TM_BASE_CD_FK","String","timeBase","","concat('TIME_BASE_TYPE', cast( TM_BASE_CD_FK as Int))","lookup-edw-cdr-view-reference-description"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","ACQSN_MTHD_CD_FK","Integer","acquisitionMethodFk","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","ACQSN_MTHD_CD_FK","String","acquisitionMethodId","","concat('ACQUISITION_METHOD',cast( ACQSN_MTHD_CD_FK as Int))","lookup-edw-cdr-view-reference-key"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","ACQSN_MTHD_CD_FK","String","acquisitionMethod","","concat('ACQUISITION_METHOD',cast( ACQSN_MTHD_CD_FK as Int))","lookup-edw-cdr-view-reference-description"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","MSRMT_DT","Datetime","measurementResultDateTime","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","ALRM_STATE_CD_FK","Integer","alarmStateFk","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","ALRM_STATE_CD_FK","String","alarmStateCd","","concat('ALARM_STATE', cast(ALRM_STATE_CD_FK as Int))","lookup-edw-cdr-view-reference-key"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","UOM_CD_FK","Integer","engineeringUnitFk","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","UOM_CD_FK","String","engineeringUnitCd","","concat('UNIT_OF_MEASURE', cast( UOM_CD_FK as Int))","lookup-edw-cdr-view-reference-key"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","UOM_CD_FK","String","engineeringAuditUnit","","cast( UOM_CD_FK as Int)","lookup-edw-cdr-view-reference-audit-unit"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_CRNT_VAL_MNMNC_CD_FK","Integer","tsvMnemonicFk","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_CRNT_VAL_MNMNC_CD_FK","String","tsvMnemonicCd","","concat('MNEMONICS', cast( PNT_CRNT_VAL_MNMNC_CD_FK as Int))","lookup-edw-cdr-view-reference-key"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","MSRMT_RSLT_VAL","Decimal(38,8)","measurementResultValue","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_ALRM_INHBTD_IND","String","pointAlarmInhibitedIndicator","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_CNTRL_INHBTD_IND","String","pointControlInhibitedIndicator","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_FAILD_IND","String","pointFailedIndicator","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_ALRM_IND","String","pointAlarmIndicator","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_OUT_OF_SVC_IND","String","pointOutofServiceIndicator","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_OPC_QLTY_IND","Integer","opcQualityIndicator","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_OPC_QLTY_IND","String","opcQuality","","","iicats-custom-ref-opc-quality"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_UNDR_MNTNC_IND","String","maintenanceIndicator","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_VAL_BAD_IND","String","badOrSuspectIndicator","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_RSN_CD_FK","Integer","pointReasonFk","","",""
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_RSN_CD_FK","Integer","pointReasonCd","","concat('PNT_RSN_CD',cast( PNT_RSN_CD_FK  as Int))","lookup-edw-cdr-view-reference-key"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","PNT_RSN_CD_FK","String","pointReason","","concat('PNT_RSN_CD',cast( PNT_RSN_CD_FK  as Int))","lookup-edw-cdr-view-reference-description"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","CDB_OBJ_ID","Integer","sourceRecordSystemId","","cast(CDB_OBJ_ID as Int)","lookup-edw-cdr-object-internal-id"
"raw.edw_cdr_iicats_tsv","cleansed.edw_cdr.iicats_tsv","","String","sourceRecordUpsertLogic","","'I'",""
