RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.fin_cobrb,cleansed.fin_cobrb,KONTY,accountAssignmentcategory,String,,,
raw.fin_0gl_account_attr,cleansed.fin_0gl_account_attr,XSPEA,accountBlocked,String,flag-x-yes-no,,
raw.fin_0gl_account_attr,cleansed.fin_0gl_account_attr,XSPEP,accountBlockedForPlanning,String,flag-x-yes-no,,
raw.fin_0gl_account_attr,cleansed.fin_0gl_account_attr,XSPEB,accountBlockedForPosting,String,flag-x-yes-no,,
raw.fin_0gl_account_attr,cleansed.fin_0gl_account_attr,XLOEV,accountDeletion,String,flag-x-yes-no,,
raw.fin_0gl_account_attr,cleansed.fin_0gl_account_attr,XBILK,accountTypeBSIndicator,String,flag-x-yes-no,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,BKZKP,actualPrimaryCostLockIndicator,String,flag-x-yes-no,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,BKZER,actualRevenuePostingLockIndicator,String,flag-x-yes-no,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,BKZKS,actualSecondaryCostLockIndicator,String,flag-x-yes-no,,
raw.fin_cobra,cleansed.fin_cobra,ABSCH,allocationForSettlement,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,VMETH,allowedAllocationMethodLockIndicator,String,flag-x-yes-no,,
raw.fin_cobrb,cleansed.fin_cobrb,BETRR,amountRule,Float,,,
raw.fin_cobrb,cleansed.fin_cobrb,BRTYP,amountRuleType,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,KAPPL,application,String,,,
raw.fin_cobrb,cleansed.fin_cobrb,ANLN2,assetSubnumber,String,,,
raw.fin_cobrb,cleansed.fin_cobrb,ANBWA,assetTransactionType,String,,,
raw.fin_cobra,cleansed.fin_cobra,BZDAT,assetValueDate,Date,str-yyyy-mm-dd-to-date,,
raw.fin_coss,cleansed.fin_coss,BUDGET_PD,budgetPeriod,String,,,
raw.fin_cosp,cleansed.fin_cosp,BUDGET_PD,budgetPeriod,String,,,
raw.fin_cobrb,cleansed.fin_cobrb,GSBER,businessArea,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,GSBER,businessArea,String,,,
raw.fin_cobrb,cleansed.fin_cobrb,PRZNR,businessProcess,String,,,
raw.fin_cobra,cleansed.fin_cobra,AENAM,changedBy,String,,,
raw.fin_cobra,cleansed.fin_cobra,AEDAT,changedOn,Date,str-yyyy-mm-dd-to-date,,
raw.fin_0gl_account_attr,cleansed.fin_0gl_account_attr,KTOPL,chartOfAccounts,String,,,
raw.fin_0gl_account_text,cleansed.fin_0gl_account_text,KTOPL,chartOfAccounts,String,,,
raw.fin_0comp_code_attr,cleansed.fin_0comp_code_attr,KTOPL,chartOfAccounts,String,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,ORT01,city,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,ORT01,city,String,,,
raw.fin_coss,cleansed.fin_coss,VRGNG,cobusinessTransaction,String,,,
raw.fin_cosp,cleansed.fin_cosp,VRGNG,cobusinessTransaction,String,,,
raw.fin_coss,cleansed.fin_coss,HRKFT,coKeySubNumber,String,,,
raw.fin_cosp,cleansed.fin_cosp,HRKFT,coKeySubNumber,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,BKZOB,commitmentUpdateLockIndicator,String,flag-x-yes-no,,
raw.fin_0comp_code_attr,cleansed.fin_0comp_code_attr,RCOMP,company,String,,,
raw.fin_cobrb,cleansed.fin_cobrb,BUKRS,companyCode,String,,,
raw.fin_coss,cleansed.fin_coss,BUKRS,companyCode,String,,,
raw.fin_cosp,cleansed.fin_cosp,BUKRS,companyCode,String,,,
raw.fin_0comp_code_attr,cleansed.fin_0comp_code_attr,BUKRS,companyCode,String,,,
raw.fin_0comp_code_text,cleansed.fin_0comp_code_text,BUKRS,companyCode,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,BUKRS,companyCode,String,,,
raw.fin_0comp_code_text,cleansed.fin_0comp_code_text,TXTMD,companyCodeName,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,KOMPL,completionFlagIndicator,String,flag-x-yes-no,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,KVEWE,conditionTableUsage,String,,,
raw.fin_cobrb,cleansed.fin_cobrb,KOKRS,controllingArea,String,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,KOKRS,controllingArea,String,,,
raw.fin_0profit_ctr_text,cleansed.fin_0profit_ctr_text,KOKRS,controllingArea,string,,,
raw.fin_0co_area_text,cleansed.fin_0co_area_text,KOKRS,controllingArea,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,KOKRS,controllingArea,String,,,
raw.fin_0costcenter_text,cleansed.fin_0costcenter_text,KOKRS,controllingArea,String,,,
raw.fin_0costelmnt_text,cleansed.fin_0costelmnt_text,KOKRS,controllingArea,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,KOSZSCHL,controllingOverheadKey,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,KOSTL,costCenter,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,KOSAR,costCenterCategory,String,,,
raw.fin_0costcenter_text,cleansed.fin_0costcenter_text,KOSTL,costCentre,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,AFUNK,costCentreAlternateFunction,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,FUNKT,costCentreFunction,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,CCKEY,costCollectorKey,String,,,
raw.fin_coss,cleansed.fin_coss,KSTAR,costElement,String,,,
raw.fin_cosp,cleansed.fin_cosp,KSTAR,costElement,String,,,
raw.fin_0costelmnt_text,cleansed.fin_0costelmnt_text,KSTAR,costElement,String,,,
raw.fin_0costelmnt_text,cleansed.fin_0costelmnt_text,TXTMD,costElementMeduimDescription,String,,,
raw.fin_0costelmnt_text,cleansed.fin_0costelmnt_text,TXTSH,costElementShortDescription,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,KALSM,costingSheet,String,,,
raw.fin_cobrb,cleansed.fin_cobrb,KSTRG,costObject,String,,,
raw.fin_0profit_ctr_attr,cleansed.fin_0profit_ctr_attr,LAND1,countryKey,String,,,
raw.fin_0comp_code_attr,cleansed.fin_0comp_code_attr,LAND1,countryKey,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,LAND1,countryKey,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,CPD_TEMPL,cpdTemplate,String,,,
raw.fin_0costcenter_attr,cleansed.fin_0costcenter_attr,CPI_TEMPL,cpiTemplate,String,,,
raw.fin_0gl_account_attr,cleansed.fin_0gl_account_attr,ERNAM,createdBy,String,,,
raw.fin_cobra,cleansed.fin_cobra,ERDAT,createdOn,Date,str-yyyy-mm-dd-to-date,,
raw.fin_coss,cleansed.fin_coss,TIMESTMP,createdOn,DateTime,int-utc-to-sydney-datetime,,
raw.fin_cosp,cleansed.fin_cosp,TIMESTMP,createdOn,DateTime,int-utc-to-sydney-datetime,,
