date,deliverySystem,Value
1/02/2014,Cascades,15.23326066
1/02/2014,Greaves Creek,3.218260683
1/02/2014,Blue Mtns,18.45152135
1/02/2014,Orchard Hills,83.80762418
1/02/2014,Cascade + Orchard Hills ,102.2591455
1/02/2014,Illawara,98.71201515
1/02/2014,Illawarra Unfiltered,13.3
1/02/2014,Macarthur,114.6494809
1/02/2014,Nepean,15.97660175
1/02/2014,Richmond Windsor,26.22231474
1/02/2014,Warragamba,5.036961265
1/02/2014,Woronora,35.30428598
1/02/2014,Prospect North,301.9401905
1/02/2014,Prospect South,138.7147577
1/02/2014,Ryde,259.8883657
1/02/2014,Kurnell WT0155,0
1/02/2014,Prospect East,181.9106972
1/02/2014,Potts Hill,555.9163756
1/02/2014,Potts Hill + Prospect East + Kurnell,737.8270728
1/02/2014,Total Prospect + Kurnell,1438.370387
1/02/2014,Tariff Meters,1438.370387
1/02/2014,Total Demand,1836.531192
1/02/2014,Total flow,1838.89
1/02/2014,Illawarra Filtered,85.41201515
2/02/2014,Cascades,15.90051812
2/02/2014,Greaves Creek,3.06699653
2/02/2014,Blue Mtns,18.96751465
2/02/2014,Orchard Hills,88.01793264
2/02/2014,Cascade + Orchard Hills ,106.9854473
2/02/2014,Illawara,92.86778889
2/02/2014,Illawarra Unfiltered,3.64
2/02/2014,Macarthur,119.8756269
2/02/2014,Nepean,18.92282723
2/02/2014,Richmond Windsor,26.61599244
2/02/2014,Warragamba,5.456946295
2/02/2014,Woronora,37.86195403
2/02/2014,Prospect North,308.8270436
2/02/2014,Prospect South,131.582714
2/02/2014,Ryde,271.8660478
2/02/2014,Kurnell WT0155,0
2/02/2014,Prospect East,184.4762813
2/02/2014,Potts Hill,557.919794
2/02/2014,Potts Hill + Prospect East + Kurnell,742.3960753
2/02/2014,Total Prospect + Kurnell,1454.671881
2/02/2014,Tariff Meters,1454.671881
2/02/2014,Total Demand,1863.258464
2/02/2014,Total flow,1903.34
2/02/2014,Illawarra Filtered,89.22778889
3/02/2014,Cascades,16.26504232
3/02/2014,Greaves Creek,3.006136945
