RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ABKRS,payrollArea,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ANCUR,currencyKey,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ANSAL,annualsalary,Float,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ANSVH,workContract,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,BEGDA,startDate,Date,str-yyyy-mm-dd-to-date,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,BSGRD,capacityUtilizationLevityc,Float,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,BTRTL,personnelSubarea,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,BUKRS,companyCode,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,EMPCT,employmentpercentage,Float,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ENDDA,endDate,Date,str-yyyy-mm-dd-to-date,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,KOKRS,controllingArea,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,KOSTL,masterCostCentre,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,MOLGA,countryGrouping,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,NCSDATE,entryDate,Date,str-yyyy-mm-dd-to-date,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ORGEH,organizationalUnit,Integer,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,PERNR,personnelNumber,Integer,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,PERSG,employeeGroup,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,PERSK,employeeSubgroup,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,PLANS,position,Integer,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,RFPNR,personnelNumberReference,Integer,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,SLGRP,paygrade,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,SLLEV,payGradeLevel,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,SLREG,payGradeArea,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,SLTYP,payGradeType,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,SNAME,employeesName,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,STAT2,employmentStatus,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,STELL,job,Integer,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,TRFAR,payScaleType,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,TRFGB,payScaleArea,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,TRFGR,payScaleGroup,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,TRFKZ,esGrouping,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,TRFST,payScaleLevel,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,VDSK1,organizationalKey,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,WERKS,personnelArea,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ZZCONTACTNO,contactNumber,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ZZCOSTCTR_DESC,costCentreDescription,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ZZCOSTCTR_NAME,costCentreName,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ZZEMPLOYEE_PTEXT,employeeGroupName,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ZZEMPSUBGRP_PTEXT,employeeSubGroupName,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ZZORGEH_ORGTX,orgUnit,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ZZPERSNNR,personnelnumber1,Integer,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ZZPLANS_PLSTX,positionText,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ZZSNAME,employeesName1,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ZZTRFGR,payScaleGroup1,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ZZUSR_EMAIL,userEmailId,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,ZZUSRID,userID,String,,,
raw.hrm_0employee_attr,cleansed.hrm_0employee_attr,EXTRACT_DATETIME,extract_datetime,String,,,
raw.hrm_0employee_text,cleansed.hrm_0employee_text,DATEFROM,validFromDate,Date,str-yyyy-mm-dd-to-date,,
raw.hrm_0employee_text,cleansed.hrm_0employee_text,DATETO,validToDate,Date,str-yyyy-mm-dd-to-date,,
raw.hrm_0employee_text,cleansed.hrm_0employee_text,PERNR,personnelNumber,Integer,,,
raw.hrm_0employee_text,cleansed.hrm_0employee_text,TXTMD,employeeName,String,,,
raw.hrm_0employee_text,cleansed.hrm_0employee_text,EXTRACT_DATETIME,extract_datetime,String,,,
