RawTable,CleansedTable,RawColumnName,DataType,CleansedColumnName,TransformTag,CustomTransform,Lookup
raw.hydra_affected_lots,cleansed.hydra_affected_lots,features_properties_system_key,BIGINT,systemKey,trimcoalesceint,,
raw.hydra_affected_lots,cleansed.hydra_affected_lots,features_properties_date_received,TIMESTAMP,dateReceived,str-dd/MM/yyyy-HH-mm-ss-to-timestamp,,
raw.hydra_affected_lots,cleansed.hydra_affected_lots,features_properties_ds_version,BIGINT,dsVersion,,,
raw.hydra_affected_lots,cleansed.hydra_affected_lots,features_properties_free_text,STRING,freeText,,,
raw.hydra_affected_lots,cleansed.hydra_affected_lots,features_properties_property_number,BIGINT,propertyNumber,,,
raw.hydra_affected_lots,cleansed.hydra_affected_lots,features_properties_status,STRING,status,,,
raw.hydra_affected_lots,cleansed.hydra_affected_lots,features_properties_user_id,STRING,userId,,,
raw.hydra_affected_lots,cleansed.hydra_affected_lots,features_properties_wonum,STRING,wonum,,,
raw.hydra_alt_road_qualifier_catalogue,cleansed.hydra_alt_road_qualifier_catalogue,features_properties_alt_qualifier1,STRING,altQualifier1,trimcoalesce,,
raw.hydra_alt_road_qualifier_catalogue,cleansed.hydra_alt_road_qualifier_catalogue,features_properties_alt_exp_qualifier1,STRING,altExpQualifier1,,,
raw.hydra_alt_road_qualifier_catalogue,cleansed.hydra_alt_road_qualifier_catalogue,features_properties_change_by,STRING,changeBy,,,
raw.hydra_alt_road_qualifier_catalogue,cleansed.hydra_alt_road_qualifier_catalogue,features_properties_change_date,TIMESTAMP,changeDate,str-dd/MM/yyyy-HH-mm-ss-to-timestamp,,
raw.hydra_alt_road_qualifier_catalogue,cleansed.hydra_alt_road_qualifier_catalogue,features_properties_ds_version,BIGINT,dsVersion,,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_name,STRING,name,trimcoalesce,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_ChildJoins,INHERIT,childJoins,,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_calculated_area,"DECIMAL(25,10)",calculatedArea,,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_capture_method,STRING,captureMethod,,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_change_by,STRING,changeBy,,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_change_date,TIMESTAMP,changeDate,str-dd/MM/yyyy-HH-mm-ss-to-timestamp,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_data_source,STRING,dataSource,,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_ds_version,BIGINT,dsVersion,,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_environmental_site_code,STRING,environmentalSiteCode,,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_external_reference,STRING,externalReference,,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_general_information,STRING,generalInformation,,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_source_date,DATE,sourceDate,str-dd/MM/yyyy-to-timestamp,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_sub_type,STRING,subType,,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_text_id,BIGINT,textId,,,
raw.hydra_aquatic,cleansed.hydra_aquatic,features_properties_type,STRING,type,,,
raw.hydra_aquatic_catalogue,cleansed.hydra_aquatic_catalogue,features_properties_system_key,BIGINT,systemKey,trimcoalesceint,,
raw.hydra_aquatic_catalogue,cleansed.hydra_aquatic_catalogue,features_properties_change_by,STRING,changeBy,,,
raw.hydra_aquatic_catalogue,cleansed.hydra_aquatic_catalogue,features_properties_change_date,TIMESTAMP,changeDate,str-dd/MM/yyyy-HH-mm-ss-to-timestamp,,
raw.hydra_aquatic_catalogue,cleansed.hydra_aquatic_catalogue,features_properties_ds_version,BIGINT,dsVersion,,,
raw.hydra_aquatic_catalogue,cleansed.hydra_aquatic_catalogue,features_properties_sub_type,STRING,subType,,,
raw.hydra_aquatic_catalogue,cleansed.hydra_aquatic_catalogue,features_properties_type,STRING,type,,,
raw.hydra_aquatic_code_annotation,cleansed.hydra_aquatic_code_annotation,features_properties_rwo_id,STRING,rwoId,trimcoalesce,,
raw.hydra_aquatic_code_annotation,cleansed.hydra_aquatic_code_annotation,features_ParentJoins,INHERIT,parentJoins,,,
raw.hydra_aquatic_code_annotation,cleansed.hydra_aquatic_code_annotation,features_properties_ds_version,BIGINT,dsVersion,,,
raw.hydra_aquatic_code_annotation,cleansed.hydra_aquatic_code_annotation,features_geometry,INHERIT,geometry,,,
raw.hydra_aquatic_coverage,cleansed.hydra_aquatic_coverage,features_properties_rwo_id,STRING,rwoId,trimcoalesce,,
raw.hydra_aquatic_coverage,cleansed.hydra_aquatic_coverage,features_ParentJoins,INHERIT,parentJoins,,,
raw.hydra_aquatic_coverage,cleansed.hydra_aquatic_coverage,features_properties_ds_version,BIGINT,dsVersion,,,
raw.hydra_aquatic_coverage,cleansed.hydra_aquatic_coverage,features_geometry,INHERIT,geometry,,,
raw.hydra_aquatic_name_annotation,cleansed.hydra_aquatic_name_annotation,features_properties_rwo_id,STRING,rwoId,trimcoalesce,,
raw.hydra_aquatic_name_annotation,cleansed.hydra_aquatic_name_annotation,features_ParentJoins,INHERIT,parentJoins,,,
raw.hydra_aquatic_name_annotation,cleansed.hydra_aquatic_name_annotation,features_properties_ds_version,BIGINT,dsVersion,,,
raw.hydra_aquatic_name_annotation,cleansed.hydra_aquatic_name_annotation,features_geometry,INHERIT,geometry,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_id,BIGINT,id,trimcoalesceint,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_calculation_date,DATE,calculationDate,str-dd/MM/yyyy-to-timestamp,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_change_by,STRING,changeBy,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_change_date,TIMESTAMP,changeDate,str-dd/MM/yyyy-HH-mm-ss-to-timestamp,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_cof_compliance_score,BIGINT,cofComplianceScore,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_cof_customer_score,BIGINT,cofCustomerScore,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_cof_environment_score,BIGINT,cofEnvironmentScore,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_cof_financial_score,BIGINT,cofFinancialScore,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_cof_overall_score,BIGINT,cofOverallScore,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_cof_performance_score,BIGINT,cofPerformanceScore,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_cof_public_health_score,BIGINT,cofPublicHealthScore,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_cof_reputation_score,BIGINT,cofReputationScore,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_cof_safety_score,BIGINT,cofSafetyScore,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_data_provider,STRING,dataProvider,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_ds_version,BIGINT,dsVersion,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_manual_override,STRING,manualOverrideYn,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_override_reason,STRING,overrideReason,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_remarks,STRING,remarks,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_sgan,STRING,sgan,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_status,STRING,status,,,
raw.hydra_asset_cof_score,cleansed.hydra_asset_cof_score,features_properties_text_id,BIGINT,textId,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_id,BIGINT,id,trimcoalesceint,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_archive_date,TIMESTAMP,archiveDate,str-dd/MM/yyyy-HH-mm-ss-to-timestamp,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_archived_by,STRING,archivedBy,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_calculation_date,DATE,calculationDate,str-dd/MM/yyyy-to-timestamp,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_change_by,STRING,changeBy,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_change_date,TIMESTAMP,changeDate,str-dd/MM/yyyy-HH-mm-ss-to-timestamp,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_cof_compliance_score,BIGINT,cofComplianceScore,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_cof_customer_score,BIGINT,cofCustomerScore,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_cof_environment_score,BIGINT,cofEnvironmentScore,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_cof_financial_score,BIGINT,cofFinancialScore,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_cof_overall_score,BIGINT,cofOverallScore,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_cof_performance_score,BIGINT,cofPerformanceScore,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_cof_public_health_score,BIGINT,cofPublicHealthScore,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_cof_reputation_score,BIGINT,cofReputationScore,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_cof_safety_score,BIGINT,cofSafetyScore,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_data_provider,STRING,dataProvider,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_ds_version,BIGINT,dsVersion,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_manual_override,STRING,manualOverrideYn,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_override_reason,STRING,overrideReason,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_remarks,STRING,remarks,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_sgan,STRING,sgan,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_status,STRING,status,,,
raw.hydra_asset_cof_score_archive,cleansed.hydra_asset_cof_score_archive,features_properties_text_id,BIGINT,textId,,,
raw.hydra_asset_number,cleansed.hydra_asset_number,features_properties_system_key,BIGINT,systemKey,trimcoalesceint,,
raw.hydra_asset_number,cleansed.hydra_asset_number,features_ChildJoins,INHERIT,childJoins,,,
raw.hydra_asset_number,cleansed.hydra_asset_number,features_ParentJoins,INHERIT,parentJoins,,,
raw.hydra_asset_number,cleansed.hydra_asset_number,features_properties_asset_description,STRING,assetDescription,,,
raw.hydra_asset_number,cleansed.hydra_asset_number,features_properties_asset_number,STRING,assetNumber,,,
raw.hydra_asset_number,cleansed.hydra_asset_number,features_properties_business_function,STRING,businessFunction,,,
raw.hydra_asset_number,cleansed.hydra_asset_number,features_properties_case_number,BIGINT,caseNumber,,,
raw.hydra_asset_number,cleansed.hydra_asset_number,features_properties_change_by,STRING,changeBy,,,
raw.hydra_asset_number,cleansed.hydra_asset_number,features_properties_change_date,TIMESTAMP,changeDate,str-dd/MM/yyyy-HH-mm-ss-to-timestamp,,
raw.hydra_asset_number,cleansed.hydra_asset_number,features_properties_ds_version,BIGINT,dsVersion,,,
raw.hydra_asset_number,cleansed.hydra_asset_number,features_properties_historical_asset_number,STRING,historicalAssetNumber,,,
raw.hydra_asset_number,cleansed.hydra_asset_number,features_properties_investment_initiative,STRING,investmentInitiative,,,
raw.hydra_asset_number,cleansed.hydra_asset_number,features_properties_system_generated_asset_number,STRING,systemGeneratedAssetNumber,,,
raw.hydra_asset_number_annotation,cleansed.hydra_asset_number_annotation,features_properties_system_key,BIGINT,systemKey,trimcoalesceint,,
raw.hydra_asset_number_annotation,cleansed.hydra_asset_number_annotation,features_ParentJoins,INHERIT,parentJoins,,,
raw.hydra_asset_number_annotation,cleansed.hydra_asset_number_annotation,features_properties_asset_number_system_key,BIGINT,assetNumberSystemKey,,,
raw.hydra_asset_number_annotation,cleansed.hydra_asset_number_annotation,features_properties_ds_version,BIGINT,dsVersion,,,
raw.hydra_asset_number_annotation,cleansed.hydra_asset_number_annotation,features_geometry,INHERIT,geometry,,,
raw.hydra_asset_number_annotation,cleansed.hydra_asset_number_annotation,features_properties_rwo_id,STRING,rwoId,,,
raw.hydra_asset_number_annotation,cleansed.hydra_asset_number_annotation,features_properties_style_number,STRING,styleNumber,,,
raw.hydra_audit_field_value,cleansed.hydra_audit_field_value,features_properties_id,BIGINT,id,trimcoalesceint,,
raw.hydra_audit_field_value,cleansed.hydra_audit_field_value,features_ParentJoins,INHERIT,parentJoins,,,
raw.hydra_audit_field_value,cleansed.hydra_audit_field_value,features_properties_audit_trail_id,BIGINT,auditTrailId,,,
raw.hydra_audit_field_value,cleansed.hydra_audit_field_value,features_properties_ds_version,BIGINT,dsVersion,,,
raw.hydra_audit_field_value,cleansed.hydra_audit_field_value,features_properties_field_name,STRING,fieldName,,,
raw.hydra_audit_field_value,cleansed.hydra_audit_field_value,features_properties_field_value,STRING,fieldValue,,,
raw.hydra_audit_field_value,cleansed.hydra_audit_field_value,features_properties_image,STRING,image,,,
raw.hydra_audit_trail,cleansed.hydra_audit_trail,features_properties_id,BIGINT,id,trimcoalesceint,,
raw.hydra_audit_trail,cleansed.hydra_audit_trail,features_ParentJoins,INHERIT,parentJoins,,,
raw.hydra_audit_trail,cleansed.hydra_audit_trail,features_properties_activity,STRING,activity,,,
raw.hydra_audit_trail,cleansed.hydra_audit_trail,features_properties_ds_version,BIGINT,dsVersion,,,
raw.hydra_audit_trail,cleansed.hydra_audit_trail,features_properties_image,STRING,image,,,
raw.hydra_audit_trail,cleansed.hydra_audit_trail,features_properties_path,STRING,path,,,
raw.hydra_audit_trail,cleansed.hydra_audit_trail,features_properties_table,STRING,table,,,
raw.hydra_audit_trail,cleansed.hydra_audit_trail,features_properties_when,TIMESTAMP,when,str-dd/MM/yyyy-HH-mm-ss-to-timestamp,,
raw.hydra_audit_trail,cleansed.hydra_audit_trail,features_properties_who,STRING,who,,,
raw.hydra_backflow_device,cleansed.hydra_backflow_device,features_properties_system_key,BIGINT,systemKey,trimcoalesceint,,
raw.hydra_backflow_device,cleansed.hydra_backflow_device,features_ParentJoins,INHERIT,parentJoins,,,
raw.hydra_backflow_device,cleansed.hydra_backflow_device,features_properties_backflow_prevention_system_key,BIGINT,backflowPreventionSystemKey,,,
raw.hydra_backflow_device,cleansed.hydra_backflow_device,features_properties_change_by,STRING,changeBy,,,
