RawTable,CleansedTable,RawColumnName,DataType,CleansedColumnName,TransformTag,CustomTransform,Lookup
raw.iicats_tsv,cleansed.iicats_tsv,CDB_OBJ_ID,Bigint,objectInternalId,,,
raw.iicats_tsv,cleansed.iicats_tsv,TSV_AEST_DT,Datetime,measurementResultAESTDateTime,,,
raw.iicats_tsv,cleansed.iicats_tsv,STAT_TYP_CD,String,statisticTypeCd,,,
raw.iicats_tsv,cleansed.iicats_tsv,STAT_TYP_CD,String,statisticType,,"concat('STATISTIC_TYPE',STAT_TYP_CD)",lookup-iicats-bi-reference
raw.iicats_tsv,cleansed.iicats_tsv,TM_BASE_CD,String,timeBaseCd,,,
raw.iicats_tsv,cleansed.iicats_tsv,TM_BASE_CD,String,timeBase,,"concat('TIME_BASE_TYPE',TM_BASE_CD)",lookup-iicats-bi-reference
raw.iicats_tsv,cleansed.iicats_tsv,ACQSN_MTHD_CD,String,acquisitionMethodId,,,
raw.iicats_tsv,cleansed.iicats_tsv,ACQSN_MTHD_CD,String,acquisitionMethod,,"concat('ACQUISITION_METHOD',ACQSN_MTHD_CD)",lookup-iicats-bi-reference
raw.iicats_tsv,cleansed.iicats_tsv,TSV_DT,Datetime,measurementResultDateTime,,,
raw.iicats_tsv,cleansed.iicats_tsv,ALRM_ST_CD,String,alarmStateCd,,,
raw.iicats_tsv,cleansed.iicats_tsv,UOM_CD,String,engineeringUnitCd,,,
raw.iicats_tsv,cleansed.iicats_tsv,UOM_CD,String,engineeringAuditUnit,,,lookup-iicats-unit-of-measure
raw.iicats_tsv,cleansed.iicats_tsv,PNT_CRNT_VAL_MNMNC_CD,String,tsvMnemonicCd,,,
raw.iicats_tsv,cleansed.iicats_tsv,TSV_RSLT_VAL,"Decimal(38,8)",measurementResultValue,,,
raw.iicats_tsv,cleansed.iicats_tsv,PNT_ALRM_INHBTD_IND,String,pointAlarmInhibitedIndicator,,,
raw.iicats_tsv,cleansed.iicats_tsv,PNT_CNTRL_INHBTD_IND,String,pointControlInhibitedIndicator,,,
raw.iicats_tsv,cleansed.iicats_tsv,PNT_FAILD_IND,String,pointFailedIndicator,,,
raw.iicats_tsv,cleansed.iicats_tsv,PNT_ALRM_IND,String,pointAlarmIndicator,,,
raw.iicats_tsv,cleansed.iicats_tsv,PNT_OUT_OF_SVC_IND,String,pointOutofServiceIndicator,,,
