RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.isu_zdmt_rate_type,cleansed.isu_zdmt_rate_type,FUNKTXT,functionClassText,String,,,
raw.isu_zdmt_rate_type,cleansed.isu_zdmt_rate_type,GROES,deviceSize,String,,,
raw.isu_zdmt_rate_type,cleansed.isu_zdmt_rate_type,AKLASSE,billingClassCode,String,,,
raw.isu_zdmt_rate_type,cleansed.isu_zdmt_rate_type,AKLASSE,billingClass,String,,,lookup-isu-billing-class
raw.isu_zdmt_rate_type,cleansed.isu_zdmt_rate_type,ZZ_IND_SOPA,sopaFlag,String,,,
raw.isu_zdmt_rate_type,cleansed.isu_zdmt_rate_type,TARIFART,rateTypeCode,String,,,
raw.isu_zdmt_rate_type,cleansed.isu_zdmt_rate_type,TARIFART,rateType,String,,,lookup-isu-rate-type
raw.isu_zdmt_rate_type,cleansed.isu_zdmt_rate_type,KONDIGR,rateFactGroupCode,String,,,
raw.isu_zdmt_rate_type,cleansed.isu_zdmt_rate_type,PERVERBR,consumptionPerYear,"DECIMAL(15,2)",,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,AENAM,changedBy,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,CR_DATE,createdOn,Date,str-yyyy-mm-dd-to-date,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,CR_TIME,createdOnTime,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,DIST_SYS_ZONE,distrbutionSystemZone,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,ERNAM,responsibleBy,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,EXT_AGEN,exteralAgencyResponsible,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,GUAGE_ID,gaugeOnID,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,INCIDENT_DATE,incidentDate,Date,str-yyyy-mm-dd-to-date,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,INCIDENT_UID,enteredBy,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,JOB_NUM,jobNumber,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,OUTAGE_TIME,outageTime,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,PRESSURE,pressure,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,PROD_AREA,productionArea,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,PROP_NUM,propertyNumber,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,RBT_TYPE,rebateType,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,REB_FICA_DOC,rebateDocumentNumber,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,REB_PROC_DATE,rebateProcessDate,Date,str-yyyy-mm-dd-to-date,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,REB_TOT_AMOUNT,rebatTotalAmount,Float,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,REBATE_TYPE,sapRebateType,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,RES_ZONE,reservoirZone,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,STATUS,status,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,TASK_DESC,jobDescription,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,TASK_ID,taskID,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,UPD_DATE,lastChangeDate,Date,str-yyyy-mm-dd-to-date,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,UPD_TIME,changeTime,String,,,
raw.isu_zblt_redress,cleansed.isu_zblt_redress,EXTRACT_DATETIME,extract_datetime,String,,,
