Labware Extractor,Labware Field,Labware Field Description,UniqueKey,ForeignKey,DataType,ReferenceTableIndicator,RawTable,CleansedTable,RawColumnName,CleansedColumnName,TransformTag,CustomTransform,Lookup
ACCOUNT,account_number,,Y,,BIGINT,,raw.labware_account,cleansed.labware_account,account_number,accountNumber,trimcoalesce,,
ACCOUNT,customer,,,,STRING,,raw.labware_account,cleansed.labware_account,customer,customer,,,
ACCOUNT,changed_by,,,,STRING,,raw.labware_account,cleansed.labware_account,changed_by,changedBy,,,
ACCOUNT,changed_on,,,,DATE,,raw.labware_account,cleansed.labware_account,changed_on,changedOn,,,
ACCOUNT,removed,,,,STRING,,raw.labware_account,cleansed.labware_account,removed,removed,flag-TorF-yes-no,,
ACCOUNT,description,,,,STRING,,raw.labware_account,cleansed.labware_account,description,description,,,
ACCOUNT,on_hold,,,,STRING,,raw.labware_account,cleansed.labware_account,on_hold,onHold,flag-TorF-yes-no,,
ACCOUNT,invoice_to,,,,STRING,,raw.labware_account,cleansed.labware_account,invoice_to,invoiceTo,,,
ACCOUNT,copy_1_to,,,,STRING,,raw.labware_account,cleansed.labware_account,copy_1_to,copy1To,,,
ACCOUNT,copy_2_to,,,,STRING,,raw.labware_account,cleansed.labware_account,copy_2_to,copy2To,,,
ACCOUNT,group_name,,,,STRING,,raw.labware_account,cleansed.labware_account,group_name,groupName,,,
ACCOUNT,tax_plan,,,,STRING,,raw.labware_account,cleansed.labware_account,tax_plan,taxPlan,,,
ACCOUNT,ext_link,,,,STRING,,raw.labware_account,cleansed.labware_account,ext_link,extLink,,,
ADDRESS_BOOK,name,,Y,,STRING,,raw.labware_address_book,cleansed.labware_address_book,name,name,trimcoalesce,,
ADDRESS_BOOK,changed_by,,,,STRING,,raw.labware_address_book,cleansed.labware_address_book,changed_by,changedBy,,,
ADDRESS_BOOK,changed_on,,,,DATE,,raw.labware_address_book,cleansed.labware_address_book,changed_on,changedOn,,,
ADDRESS_BOOK,removed,,,,STRING,,raw.labware_address_book,cleansed.labware_address_book,removed,removed,flag-TorF-yes-no,,
ADDRESS_BOOK,description,,,,STRING,,raw.labware_address_book,cleansed.labware_address_book,description,description,,,
ADDRESS_BOOK,group_name,,,,STRING,,raw.labware_address_book,cleansed.labware_address_book,group_name,groupName,,,
ADDRESS_BOOK,ext_link,,,,STRING,,raw.labware_address_book,cleansed.labware_address_book,ext_link,extLink,,,
ADDRESS_BOOK,default_view,,,,STRING,,raw.labware_address_book,cleansed.labware_address_book,default_view,labwareFormDisplay,,,
ADDRESS_BOOK,template,,,,STRING,,raw.labware_address_book,cleansed.labware_address_book,template,template,,,
ADDRESS_BOOK,cache_entries,,,,STRING,,raw.labware_address_book,cleansed.labware_address_book,cache_entries,cacheEntries,flag-TorF-yes-no,,
ALGAL_MNEMONICS,name,,Y,,STRING,,raw.labware_algal_mnemonics,cleansed.labware_algal_mnemonics,name,name,trimcoalesce,,
ALGAL_MNEMONICS,old_name,,,,STRING,,raw.labware_algal_mnemonics,cleansed.labware_algal_mnemonics,old_name,oldName,,,
