RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCMATVALUEFLAG,materialValueRequired,String,flag-1or0-yes-no,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCWORKTYPEFLAG,workTypeMatchRequired,String,flag-1or0-yes-no,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCLEAKCEASEFLAG,leakCeaseDateRequired,String,flag-1or0-yes-no,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCPARENTREQFLAG,parentRequired,String,flag-1or0-yes-no,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCCAPITALFLAG,capitalWork,String,flag-1or0-yes-no,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCPRODUCTFLAG,productMatchRequired,String,flag-1or0-yes-no,,
raw.maximo_jobplan,cleansed.maximo_jobplan,JPDURATION,duration,Timestamp,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,PRIORITY,woPriority,Integer,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,JOBPLANID,jobPlanId,Bigint,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,TEMPLATETYPE,templateType,String,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,FLOWCONTROLLED,flowControlled,String,flag-1or0-yes-no,,
raw.maximo_jobplan,cleansed.maximo_jobplan,PMCOMBPELENABLED,bpelEnabled,String,flag-1or0-yes-no,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCWATEROFFONREQ,waterOffOn,String,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCUOM,unitOfMeasure,String,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCCOSTTYPE,costingType,String,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCBILLRATE,billingRate,Double,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCMANHRLIMIT,manhourLimit,Double,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCREBATEPOLICY,rebatePolicy,String,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCASSETREQ,assetRequired,String,flag-1or0-yes-no,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCINITLOCREQ,initialLocationRequired,String,flag-1or0-yes-no,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCSTDFREQ,standardFrequency,Integer,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCSTDFREQUNIT,standardFrequencyUnit,String,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCWARRANTYFREQ,warrantyBasedFrequency,String,flag-1or0-yes-no,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCCONTRACTWORK,contractWork,String,flag-1or0-yes-no,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCJPCLONETYPE,cloneType,String,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCCHANGEBY,changeBy,String,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCCHANGEDATE,changeDate,Timestamp,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCOWNERSHIP,ownership,String,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCJPMASTER,masterJobPlan,String,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCWATERACT,actualWaterOnOff,String,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,SWCTCWATERPROP,proposedWaterOnOff,String,,,
raw.maximo_jobplan,cleansed.maximo_jobplan,HASNESTEDJP,nestedJobPlans,String,flag-1or0-yes-no,,
