objectInternalId,sourceRecordSystemId
0,0
10062,1
10063,1
10077,1
10084,1
10100,1
10107,1
10109,1
10119,1
10124,1
10133,1
10139,1
10145,1
10146,1
10148,1
10165,1
10166,1
10178,1
10184,1
10190,1
10194,1
10195,1
10196,1
10197,1
10198,1
10199,1
10200,1
10201,1
10202,1
10207,1
10208,1
10209,1
10210,1
10211,1
10214,1
10225,1
10226,1
10230,1
10233,1
10234,1
10239,1
10243,1
10246,1
10249,1
10253,1
10255,1
10260,1
10266,1
10271,1
10275,1
10289,1
10292,1
10293,1
10298,1
10300,1
10307,1
10322,1
10334,1
10347,1
10353,1
10354,1
10355,1
10359,1
10360,1
10361,1
10362,1
10363,1
10371,1
10385,1
10391,1
10416,1
10426,1
10431,1
10434,1
10435,1
10436,1
10437,1
10438,1
10439,1
10440,1
10450,1
10451,1
10459,1
10461,1
10462,1
10463,1
10473,1
10477,1
10482,1
10483,1
10484,1
10485,1
10486,1
10487,1
10488,1
10489,1
10490,1
10491,1
10492,1
10493,1
10494,1
10495,1
10496,1
10497,1
10498,1
10499,1
10500,1
10501,1
10502,1
10506,1
10507,1
10508,1
10518,1
10519,1
10520,1
10527,1
10528,1
10542,1
10547,1
10548,1
10549,1
10550,1
10551,1
10552,1
10553,1
10554,1
10555,1
10577,1
10594,1
10623,1
10638,1
10641,1
10643,1
10646,1
10649,1
10652,1
10663,1
10664,1
10677,1
10679,1
10682,1
10690,1
10693,1
10698,1
10716,1
10717,1
10718,1
10719,1
10720,1
10721,1
10722,1
10724,1
10727,1
10728,1
10729,1
10731,1
10734,1
10735,1
10736,1
10737,1
10741,1
10742,1
10743,1
10744,1
10745,1
10750,1
10752,1
10762,1
10763,1
10764,1
10765,1
10766,1
10767,1
10768,1
10773,1
10774,1
10775,1
10776,1
10777,1
10778,1
10779,1
10780,1
10781,1
10782,1
10783,1
10784,1
10785,1
10786,1
10787,1
10788,1
10789,1
10790,1
10791,1
10794,1
10795,1
10796,1
10797,1
10798,1
10799,1
10800,1
10801,1
10802,1
10803,1
10804,1
10815,1
10822,1
10828,1
10834,1
10835,1
10836,1
10838,1
10839,1
10840,1
10841,1
10846,1
10847,1
10853,1
10861,1
10862,1
10863,1
10876,1
10884,1
10886,1
10892,1
10893,1
10911,2
10912,2
10918,2
10924,2
10929,2
10958,1
10972,1
10973,1
10979,1
10980,1
10988,1
10991,1
10993,1
10997,1
11020,2
11029,2
11031,2
11033,2
11036,2
11038,2
11039,2
11040,2
11042,2
11043,2
11048,2
11051,2
11056,2
11059,2
11061,2
11063,2
11066,1
11067,1
11068,1
11070,1
11072,1
11077,1
11090,1
11092,1
11093,1
11127,1
11132,1
11140,1
11146,1
11149,1
11174,1
11175,1
11176,1
11179,1
11182,1
11183,1
11184,1
11185,1
11186,1
11189,1
11190,1
11192,1
11193,1
11194,1
11195,1
11196,1
11198,1
11199,1
11200,1
11208,1
11209,1
11211,1
11212,1
11213,1
11214,1
11216,1
11231,2
11248,2
11249,2
11266,1
11273,1
11289,1
11297,1
11309,1
11310,1
11311,1
11312,1
11313,1
11314,1
11315,1
11316,1
11329,1
11336,1
11344,1
11345,1
11347,1
11349,1
11361,1
11362,1
11364,1
11367,1
11374,1
11378,1
11383,1
11388,1
11392,1
11393,1
11394,1
11396,1
11397,1
11398,1
11399,1
11403,1
11405,1
11406,1
11407,1
11411,1
11412,1
11419,1
11420,1
11425,1
11427,1
11428,1
11435,1
11437,1
11438,1
11439,1
11440,1
11441,1
11442,1
11443,1
11444,1
11445,1
11446,1
11447,1
11448,1
11449,1
11450,1
11452,1
11453,1
11454,1
11455,1
11456,1
11457,1
11458,1
11459,1
11460,1
11461,1
11462,1
11463,1
11464,1
11465,1
11466,1
11467,1
11468,1
11469,1
11470,1
11471,1
11473,1
11474,1
11480,1
11481,1
11482,1
11483,1
11484,1
11486,1
11488,1
11489,1
11490,1
11491,1
11493,1
11494,1
11495,1
11496,1
11497,1
11498,1
11499,1
11504,1
11506,1
11519,1
11520,1
11521,1
11522,1
11523,1
11524,1
11535,1
11542,1
11545,1
11549,1
11550,1
11551,1
11552,1
11553,1
11559,1
11612,1
11625,1
11627,1
11651,1
11669,1
11674,1
11681,1
11682,1
11683,1
11684,1
11688,1
11689,1
11690,1
11692,1
11696,2
11710,2
11711,2
11717,2
11723,2
11728,2
11732,1
11733,1
11734,1
11735,1
11736,1
11737,1
11738,1
11739,1
11740,1
11741,1
11742,1
11743,1
11744,1
11745,1
11746,1
11747,1
11748,1
11749,1
11750,1
11751,1
11752,1
11753,1
11754,1
11755,1
11756,1
11757,1
11758,1
11759,1
11760,1
11769,1
11773,1
11780,1
11795,1
11802,1
11810,1
11811,1
11814,1
11816,1
11825,1
11826,1
11827,1
11829,1
11830,1
11832,1
11834,1
11835,1
11836,1
11837,1
11838,1
11839,1
11840,1
11841,1
11842,1
11843,1
11844,1
11846,1
11847,1
11848,1
11849,1
11850,1
11852,1
11853,1
11856,1
11857,1
11858,1
11860,1
11861,1
11862,1
11863,1
11864,1
11865,1
11867,1
11868,1
11872,1
11873,1
11874,1
11875,1
11876,1
11877,1
11879,1
11882,1
11883,1
11884,1
11885,1
11886,1
11887,1
11888,1
11889,1
11890,1
11891,1
11892,1
11893,1
11894,1
11895,1
11896,1
11899,1
11900,1
11901,1
11902,1
11903,1
11904,1
11906,1
11907,1
11908,1
11909,1
11910,1
11911,1
11913,1
11914,1
11916,1
11917,1
11918,1
11919,1
11920,1
11924,1
11925,1
11926,1
11931,1
11933,1
11941,1
11942,1
11943,1
11944,1
11947,1
11965,1
11966,1
11967,1
11968,1
11969,1
11975,1
11982,1
11990,1
11996,1
11998,1
11999,1
12000,1
12001,1
12014,1
12015,1
12016,1
12017,1
12019,1
12035,1
12041,1
12049,1
12059,1
12065,1
12066,1
12068,1
12072,1
12073,1
12074,1
12075,1
12078,1
12082,1
12091,1
12092,1
12093,1
12094,1
12095,1
12096,1
12097,1
12121,1
12123,1
12125,1
12126,1
12127,1
12128,1
12129,1
12130,1
12131,1
12132,1
12135,1
12136,1
12137,1
12143,1
12149,1
12150,1
12151,1
12153,1
12154,1
12155,1
12178,1
12179,1
12180,1
12182,1
12192,1
12193,1
12194,1
12195,1
12196,1
12200,1
12201,1
12211,1
12212,1
12228,1
12248,2
12254,2
12294,1
12297,1
12303,1
12306,1
12321,2
12322,2
12334,2
12341,1
12342,1
12343,1
12349,1
12350,1
12351,1
12352,1
12353,1
12358,1
12359,1
12360,1
12361,1
12363,1
12366,1
12367,1
12369,1
12370,1
12372,1
12373,1
12374,1
12375,1
12376,1
12377,1
12378,1
12379,1
12380,1
12381,1
12382,1
12383,1
12385,1
12386,1
12387,1
12388,1
12389,1
12391,1
12393,1
12394,1
12395,1
12396,1
12397,1
12398,1
12399,1
12400,1
12401,1
12404,1
12405,1
12407,1
12414,1
12415,1
12416,1
12418,1
12420,1
12421,1
12422,1
12423,1
12508,1
12509,1
12510,1
12516,1
12518,1
12520,1
12533,1
12534,1
12535,1
12536,1
12545,1
12554,1
12562,1
12575,1
12692,1
12694,1
12695,1
12696,1
12723,2
12730,1
12745,1
12751,1
12759,1
12763,2
12769,1
12770,1
12771,1
12776,1
12796,2
12799,2
12818,2
12843,2
12991,1
13004,1
13005,1
13006,1
13007,1
13010,1
13060,1
13061,1
13062,1
13063,1
13078,1
13079,1
13080,1
13082,1
13083,1
13084,1
13093,1
13094,1
13096,1
13119,1
13120,1
13121,1
13122,1
13125,1
13158,1
13184,1
13186,1
13202,1
13204,1
13208,1
13272,1
13287,1
13288,1
13289,1
13290,1
13292,1
13293,1
13294,1
13295,1
13299,2
13319,2
13320,2
13335,2
13377,1
13386,1
13387,1
13388,1
13403,1
13416,1
13419,1
13424,1
13429,1
13434,1
13435,1
13449,1
13457,1
13458,1
13459,1
13460,1
13461,1
13462,1
13463,1
13471,1
13487,1
13488,1
13489,1
13494,1
13495,1
13590,1
13591,1
13608,1
13609,1
13610,1
13611,1
13626,1
13634,1
13635,1
13636,1
13637,1
13638,1
13639,1
13641,1
13642,1
13643,1
13645,1
13646,1
13647,1
13648,1
13649,1
13651,1
13655,1
13656,1
13657,1
13659,1
13660,1
13661,1
13664,1
13666,1
13667,1
13669,1
13670,1
13671,1
13672,1
13673,1
13675,1
13676,1
13677,1
13678,1
13679,1
13680,1
13684,1
13685,1
13686,1
13687,1
13688,1
13690,1
13691,1
13696,1
13697,1
13698,1
13700,1
13704,1
13706,1
13707,1
13708,1
13709,1
13710,1
13711,1
13758,2
13763,2
13794,1
13795,1
13812,1
13814,1
13818,1
13833,1
13835,1
13839,1
13853,1
13856,1
13864,1
13869,1
13880,1
13881,1
13882,1
13883,1
13884,1
13885,1
13896,1
13898,1
13904,1
13906,1
13908,1
13909,1
13925,1
13928,1
13931,1
13937,1
13938,1
13943,1
13944,1
13945,1
13946,1
13961,1
13962,1
13964,1
13965,1
13966,1
13967,1
13970,1
13973,1
