RawTable,CleansedTable,RawColumnName,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup
raw.ppm_0rpm_decision_guid_attr,cleansed.ppm_0rpm_decision_guid_attr,ACTIVE,activeFlag,String,flag-x-yes-no,,
raw.ppm_0rpm_decision_guid_attr,cleansed.ppm_0rpm_decision_guid_attr,ACTUAL_DEC_DATE,actualDecisiondate,date,str-yyyy-mm-dd-to-date,,
raw.ppm_0rpm_decision_guid_attr,cleansed.ppm_0rpm_decision_guid_attr,ACTUAL_FINISH,actualFinishdate,date,str-yyyy-mm-dd-to-date,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,ACTUAL_FINISH,actualFinishDate,Date,str-yyyy-mm-dd-to-date,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,HEADC,actualHeadcount,String,,,
raw.ppm_0rpm_decision_guid_attr,cleansed.ppm_0rpm_decision_guid_attr,ACTUAL_START,actualStartdate,date,str-yyyy-mm-dd-to-date,,
raw.ppm_rpm_item_d,cleansed.ppm_rpm_item_d,ACTUAL_START,actualStartDate,Date,str-yyyy-mm-dd-to-date,,
raw.ppm_ihpa,cleansed.ppm_ihpa,ADRNR,addressNumber,String,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,ABKAT,analysisCategory,String,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP00,annualValue0,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP01,annualValue01,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP02,annualValue02,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP03,annualValue03,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP04,annualValue04,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP05,annualValue05,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP06,annualValue06,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP07,annualValue07,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP08,annualValue08,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP09,annualValue09,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP10,annualValue10,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP11,annualValue11,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP12,annualValue12,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP13,annualValue13,Float,,,
raw.ppm_rpsco,cleansed.ppm_rpsco,WTP14,annualValue14,Float,,,
