RawTablePattern,RawColumnPattern,CleansedColumnName,DataType,TransformTag,CustomTransform,Lookup,Continue,RulesOrder
raw.qualtrics_.*responses,QID.*BROWSER,browserName,string,,,,N,1
raw.qualtrics_.*responses,QID.*VERSION,browserVersionNumber,string,,,,N,2
raw.qualtrics_.*responses,QID.*OS,operatingSystemText,string,,,,N,3
raw.qualtrics_.*responses,QID.*RESOLUTION,screenResolution,string,,,,N,4
raw.qualtrics_.*responses,QID.*CLICK_COUNT,clickCount,bigint,,,,N,5
raw.qualtrics_.*responses,QID.*FIRST_CLICK,firstClickSeconds,decimal,,,,N,6
raw.qualtrics_.*responses,QID.*LAST_CLICK,lastClickSeconds,double,,,,N,7
raw.qualtrics_.*responses,QID.*PAGE_SUBMIT,pageSubmitDatetime,Datetime,,,,N,8
raw.qualtrics_.*responses,duration,durationSeconds,bigint,,,,N,9
raw.qualtrics_.*responses,finished,finished,bigint,,,,N,10
raw.qualtrics_.*responses,DateReceived,dateReceived,datetime,qualtrics-junk-date-to-timestamp,,,,
raw.qualtrics_.*responses,DATERECEIVED,dateReceived,datetime,qualtrics-junk-date-to-timestamp,,,N,11
raw.qualtrics_.*responses,Postcode,postcode,bigint,,,,N,12
raw.qualtrics_.*responses,progress,progressPercent,bigint,,,,N,13
raw.qualtrics_.*responses,PropertyNo,propertyNumber,string,,,,N,14
raw.qualtrics_.*responses,_recordId,recordId,string,,,,N,15
raw.qualtrics_.*responses,SC,sc,string,,,,N,16
raw.qualtrics_.*responses,status,status,bigint,,,,N,17
raw.qualtrics_.*responses,SupplyAddressFull,supplyFullAddress,string,,,,N,18
raw.qualtrics_.*responses,Survey_Status,surveyStatus,string,,,,N,19
raw.qualtrics_.*responses,Q_TotalDuration,totalDurationSeconds,bigint,,,,N,20
raw.qualtrics_.*responses,Afterhours,afterHours,bigint,,,,N,21
raw.qualtrics_.*responses,Age_Group,ageGroup,string,,,,N,22
raw.qualtrics_.*responses,AGENT,agent,string,,,,N,23
raw.qualtrics_.*responses,ApplicationID,applicationId,bigint,,,,N,24
raw.qualtrics_.*responses,AptType,aptType,bigint,,,,N,25
raw.qualtrics_.*responses,BUSINESS_SEGMENT,businessSegment,string,,,,N,26
raw.qualtrics_.*responses,CASECOMPLETED,caseCompleted,bigint,,,,N,27
raw.qualtrics_.*responses,CASENUMBER,caseNumber,bigint,,,,N,28
raw.qualtrics_.*responses,ComplaintActiveDays,complaintActiveDays,bigint,,,,N,29
raw.qualtrics_.*responses,Contactnumber,contactNumber,bigint,,,,N,30
raw.qualtrics_.*responses,ContractorCost,contractorCost,decimal,,,,N,31
raw.qualtrics_.*responses,CUSTOMER_TYPE,customerType,string,,,,N,32
raw.qualtrics_.*responses,Customervalue,customerValue,bigint,,,,N,33
raw.qualtrics_.*responses,DEVELOPERS_ADDRESS,developerAddressText,string,,,,N,34
raw.qualtrics_.*responses,DEVELOPER_NAME,developerName,string,,,,N,35
raw.qualtrics_.*responses,DEVELOPERPHONE_NO,developerPhoneNumber,string,,,,N,36
raw.qualtrics_.*responses,DEVELOPMENT_LOCATION,developmentLocationText,string,,,,N,37
raw.qualtrics_.*responses,DEVELOPMENT_TYPE,developmentType,string,,,,N,38
raw.qualtrics_.*responses,FFApptID,ffApptId,bigint,,,,N,39
raw.qualtrics_.*responses,gc,gCode,string,,,,N,40
raw.qualtrics_.*responses,Q_AA_PARAMS,marketingCloudVisitorId,string,,,,N,41
raw.qualtrics_.*responses,ObjectId,objectId,bigint,,,,N,42
raw.qualtrics_.*responses,Preferredpaymentoption,preferredPaymentOption,bigint,,,,N,43
raw.qualtrics_.*responses,NUMBEROFPROPOSEDDWELLINGS,proposedDwellingCount,bigint,,,,N,44
raw.qualtrics_.*responses,NUMBEROFPROPOSEDLOTS,proposedLotCount,bigint,,,,N,45
raw.qualtrics_.*responses,QSEDStatus,qSedStatusDesc,string,,,,N,46
raw.qualtrics_.*responses,Q_RecaptchaScore,recaptchaScore,bigint,,,,N,47
raw.qualtrics_.*responses,ReportedbyMobno,reportedbyMobileNumber,string,,,,N,48
raw.qualtrics_.*responses,ReportedByPartnerNo,reportedByPartnerNumber,string,,,,N,49
raw.qualtrics_.*responses,ReportedbyPersonemail,reportedbyPersonEmail,string,,,,N,50
raw.qualtrics_.*responses,ReportedbyTelephoneNo,reportedbyTelephoneNumber,string,,,,N,51
raw.qualtrics_.*responses,SEC73DURATIONDAYS,section73DurationDays,bigint,,,,N,52
raw.qualtrics_.*responses,SEC73ISSUEDATE,section73IssueDate,datetime,qualtrics-junk-date-to-timestamp,,,N,53
raw.qualtrics_.*responses,SEC73MONTH,section73Month,Date,,,,N,54
raw.qualtrics_.*responses,ServiceRequestDateClosed,serviceRequestDateClosed,Date,,,,N,55
raw.qualtrics_.*responses,ServiceRequestDateReceived,serviceRequestDateReceived,Date,,,,N,56
raw.qualtrics_.*responses,SR,serviceRequestNumber,bigint,,,,N,57
raw.qualtrics_.*responses,SRNo,serviceRequestNumber,bigint,,,,N,58
raw.qualtrics_.*responses,SRNO,serviceRequestNumber,bigint,,,,N,59
raw.qualtrics_.*responses,STRAIGHTCERT,straightCert,string,,,,N,60
raw.qualtrics_.*responses,TotalVisitedPageCount,totalVisitedPageCount,bigint,,,,N,61
raw.qualtrics_.*responses,UniqueVisitedPageCount,uniqueVisitedPageCount,bigint,,,,N,62
raw.qualtrics_.*responses,WSC,waterServicesCoordinatorText,string,,,,N,63
raw.qualtrics_.*responses,ActivityPartner,activityPartner,bigint,,,,N,64
raw.qualtrics_.*responses,Applicant,applicant,string,,,,N,65
raw.qualtrics_.*responses,APPLICATION_TYPE,applicationType,string,,,,N,66
raw.qualtrics_.*responses,AssessmentResolution,assessmentResolution,string,,,,N,67
raw.qualtrics_.*responses,AssignedTo,assignedTo,string,,,,N,68
raw.qualtrics_.*responses,BusinessAreaResponsible,businessAreaResponsible,string,,,,N,69
raw.qualtrics_.*responses,Category,category,string,,,,N,70
raw.qualtrics_.*responses,Channel,channel,string,,,,N,71
raw.qualtrics_.*responses,ChannelDescription,channelDescription,string,,,,N,72
raw.qualtrics_.*responses,CommunicationChannel,communicationChannel,string,,,,N,73
raw.qualtrics_.*responses,CompanyName,companyName,string,,,,N,74
raw.qualtrics_.*responses,ComplaintCategory,complaintCategory,string,,,,N,75
raw.qualtrics_.*responses,Country,country,string,,,,N,76
raw.qualtrics_.*responses,CurrentPageURL,currentPageUrl,string,,,,N,77
raw.qualtrics_.*responses,CustomerFirstName,customerFirstName,string,,,,N,78
raw.qualtrics_.*responses,CustomerLastName,customerLastName,string,,,,N,79
raw.qualtrics_.*responses,DateAssessed,dateAssessed,Datetime,,,,N,80
raw.qualtrics_.*responses,Date completed,dateCompleted,Datetime,,,,N,81
raw.qualtrics_.*responses,DateCreated,dateCreated,Datetime,,,,N,82
raw.qualtrics_.*responses,DateSubmitted,dateSubmitted,Datetime,,,,N,83
raw.qualtrics_.*responses,Developer,developer,string,,,,N,84
raw.qualtrics_.*responses,DeveloperSegment,developerSegment,string,,,,N,85
raw.qualtrics_.*responses,DeviceType,deviceType,string,,,,N,86
raw.qualtrics_.*responses,DirectionDesc,directionDesc,string,,,,N,87
raw.qualtrics_.*responses,distributionChannel,distributionChannel,string,,,,N,88
raw.qualtrics_.*responses,EmailMeta,emailMeta,string,,,,N,89
raw.qualtrics_.*responses,EmailSource,emailSource,string,,,,N,90
raw.qualtrics_.*responses,Employee name,employeename,string,,,,N,91
raw.qualtrics_.*responses,ExternalDataReference,externalDataReference,string,,,,N,92
raw.qualtrics_.*responses,Inbound channel,inboundChannel,string,,,,N,93
raw.qualtrics_.*responses,InteractionTypeDesc,interactionTypeDesc,string,,,,N,94
raw.qualtrics_.*responses,ipAddress,ipAddress,string,,,,N,95
raw.qualtrics_.*responses,IssueResponsibility,issueResponsibility,string,,,,N,96
raw.qualtrics_.*responses,LandingPageURL,landingPageUrl,string,,,,N,97
raw.qualtrics_.*responses,Language,language,string,,,,N,98
raw.qualtrics_.*responses,List,list,nochange,,,,N,99
raw.qualtrics_.*responses,locationLatitude,locationLatitude,string,,,,N,100
raw.qualtrics_.*responses,locationLongitude,locationLongitude,string,,,,N,101
raw.qualtrics_.*responses,ObjectId,objectId,bigint,,,,N,102
raw.qualtrics_.*responses,opp,opp,string,,,,N,103
raw.qualtrics_.*responses,PageReferrer,pageReferrer,string,,,,N,104
raw.qualtrics_.*responses,PageScroll,pageScroll,string,,,,N,105
raw.qualtrics_.*responses,PageTitle,pageTitle,string,,,,N,106
raw.qualtrics_.*responses,PaymentCode,paymentCode,string,,,,N,107
raw.qualtrics_.*responses,PaymentMethod,paymentMethod,string,,,,N,108
raw.qualtrics_.*responses,Person Resp,rersonResp,string,,,,N,109
raw.qualtrics_.*responses,Person Responsible,personResponsible,string,,,,N,110
raw.qualtrics_.*responses,PostalAddress,postalAddress,string,,,,N,111
raw.qualtrics_.*responses,PropertyAddress,propertyAddress,string,,,,N,112
raw.qualtrics_.*responses,PropertyNo,propertyNumber,string,,,,N,113
raw.qualtrics_.*responses,ReceivedSubCategory,receivedSubCategory,string,,,,N,114
raw.qualtrics_.*responses,recipientEmail,recipientEmail,string,,,,N,115
raw.qualtrics_.*responses,recipientFirstName,recipientFirstName,string,,,,N,116
