RawTable,CleansedTable,RawColumnName,DataType,CleansedColumnName,TransformTag,CustomTransform,Lookup
raw.scada_tsv,cleansed.scada_tsv,CDB_OBJ_ID,Bigint,objectInternalId,,,
raw.scada_tsv,cleansed.scada_tsv,TSV_AEST_DT,Datetime,measurementResultAESTDateTime,,,
raw.scada_tsv,cleansed.scada_tsv,STAT_TYP_CD,String,statisticTypeCd,,,
raw.scada_tsv,cleansed.scada_tsv,STAT_TYP_CD,String,statisticType,,"concat('STATISTIC_TYPE',STAT_TYP_CD)",lookup-iicats-bi-reference
raw.scada_tsv,cleansed.scada_tsv,TM_BASE_CD,String,timeBaseCd,,,
raw.scada_tsv,cleansed.scada_tsv,TM_BASE_CD,String,timeBase,,"concat('TIME_BASE_TYPE',TM_BASE_CD)",lookup-iicats-bi-reference
raw.scada_tsv,cleansed.scada_tsv,ACQSN_MTHD_CD,String,acquisitionMethodId,,,
raw.scada_tsv,cleansed.scada_tsv,ACQSN_MTHD_CD,String,acquisitionMethod,,"concat('ACQUISITION_METHOD',ACQSN_MTHD_CD)",lookup-iicats-bi-reference
raw.scada_tsv,cleansed.scada_tsv,TSV_DT,Datetime,measurementResultDateTime,,,
raw.scada_tsv,cleansed.scada_tsv,ALRM_ST_CD,String,alarmStateCd,,,
raw.scada_tsv,cleansed.scada_tsv,UOM_CD,String,engineeringUnitCd,,,
raw.scada_tsv,cleansed.scada_tsv,UOM_CD,String,engineeringAuditUnit,,,lookup-iicats-unit-of-measure
raw.scada_tsv,cleansed.scada_tsv,PNT_CRNT_VAL_MNMNC_CD,String,tsvMnemonicCd,,,
raw.scada_tsv,cleansed.scada_tsv,TSV_RSLT_VAL,"Decimal(38,8)",measurementResultValue,,,
raw.scada_tsv,cleansed.scada_tsv,PNT_ALRM_INHBTD_IND,String,pointAlarmInhibitedIndicator,,,
raw.scada_tsv,cleansed.scada_tsv,PNT_CNTRL_INHBTD_IND,String,pointControlInhibitedIndicator,,,
raw.scada_tsv,cleansed.scada_tsv,PNT_FAILD_IND,String,pointFailedIndicator,,,
raw.scada_tsv,cleansed.scada_tsv,PNT_ALRM_IND,String,pointAlarmIndicator,,,
raw.scada_tsv,cleansed.scada_tsv,PNT_OUT_OF_SVC_IND,String,pointOutofServiceIndicator,,,
raw.scada_tsv,cleansed.scada_tsv,PNT_OPC_QLTY_IND,Integer,opcQualityIndicator,,,
raw.scada_tsv,cleansed.scada_tsv,PNT_OPC_QLTY_IND,String,opcQuality,,,iicats-custom-ref-opc-quality
raw.scada_tsv,cleansed.scada_tsv,PNT_UNDR_MNTNC_IND,String,maintenanceIndicator,,,
raw.scada_tsv,cleansed.scada_tsv,PNT_VAL_BAD_IND,String,badOrSuspectIndicator,,,
raw.scada_tsv,cleansed.scada_tsv,PNT_RSN_CD,Integer,pointReasonCd,,,
raw.scada_tsv,cleansed.scada_tsv,PNT_RSN_CD,String,pointReason,,"concat('PNT_RSN_CD',cast( PNT_RSN_CD  as Int))",lookup-iicats-bi-reference
raw.scada_tsv,cleansed.scada_tsv,HT_SYS_ID,Integer,sourceRecordSystemId,,,
raw.scada_tsv,cleansed.scada_tsv,HT_COMMAND,String,sourceRecordUpsertLogic,,,
raw.scada_tsv,cleansed.scada_tsv,HT_CRT_DT,Datetime,sourceRecordCreationDateTime,,,
raw.scada_event,cleansed.scada_event,CDB_OBJ_ID,BigInt,objectInternalId,,,
raw.scada_event,cleansed.scada_event,EVNT_AEST_DT,Datetime,eventAESTDateTime,,,
raw.scada_event,cleansed.scada_event,EVNT_SQNC_NUM,BigInt,eventSequenceNumber,,,
raw.scada_event,cleansed.scada_event,EVNT_TM_MSEC_VAL,Integer,eventTimeMilliseconds,,,
raw.scada_event,cleansed.scada_event,EVNT_DT,Datetime,eventDateTime,,,
raw.scada_event,cleansed.scada_event,EVNT_TYP_CD,String,eventTypeCd,,,
raw.scada_event,cleansed.scada_event,EVNT_TYP_CD,String,eventType,,"concat('EVENT_TYPE',EVNT_TYP_CD)",lookup-iicats-bi-reference
raw.scada_event,cleansed.scada_event,ALRM_TYP_CD,String,alarmTypeCd,,,
