Extractor,Extractor Field,Extractor Field Description,UniqueKey,ForeignKey,DataType,ReferenceTableIndicator,RawTable,CleansedTable,RawColumnName,CleansedColumnName,TransformTag,CustomTransform,Lookup
BMS_9999999_109,BMS_0002185_8877,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_0002185_8877,bms_21858877,,,
BMS_9999999_109,BMS_0002185_8878,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_0002185_8878,bms_21858878,,,
BMS_9999999_109,BMS_0002185_8879,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_0002185_8879,bms_21858879,,,
BMS_9999999_109,BMS_0002185_8880,,,,DATETIME,,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_0002185_8880,bms_21858880,,,
BMS_9999999_109,BMS_0002185_8881,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_0002185_8881,bms_21858881,,,
BMS_9999999_109,BMS_0002185_8882,,,,DATETIME,,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_0002185_8882,bms_21858882,,,
BMS_9999999_109,BMS_0002185_8883,,,,"DECIMAL(10,0)",,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_0002185_8883,bms_21858883,,,
BMS_9999999_109,BMS_0002185_8900,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_0002185_8900,bms_21858900,,,
BMS_9999999_109,BMS_0002185_8901,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_0002185_8901,bms_21858901,,,
,,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,,actionCategory,,"concat(BMS_9999999_1696,'||','9999999_322')",lookup-swirl
BMS_9999999_109,BMS_9999999_1696,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_9999999_1696,actionCategoryCode,,,
,,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,,actionDerivedFrom,,"concat(BMS_9999999_8284,'||','9999999_8046')",lookup-swirl
BMS_9999999_109,BMS_9999999_8284,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_9999999_8284,actionDerivedFromCode,,,
BMS_9999999_109,BMS_9999999_1130,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_9999999_1130,actionDescription,,,
BMS_9999999_109,BMS_9999999_3508,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_9999999_3508,actionNumber,,,
,,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,,actionRelatedIncidentSubType,,"concat(BMS_9999999_8483,'||','9999999_8073')",lookup-swirl
BMS_9999999_109,BMS_9999999_8483,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,BMS_9999999_8483,actionRelatedIncidentSubTypeCode,,,
,,,,,STRING,,raw.swirl_bms_9999999_109,cleansed.swirl_action,,actionRelatedIncidentType,,"concat(BMS_9999999_8482,'||','9999999_8072')",lookup-swirl
